2024-04-26:12:22:38 INSPECTOR LOG

2024-04-26:12:22:42 sender:  1 - send_time: 12:22:41 - amount:785k $  - receiver: 0 - receive_time: 12:22:42
2024-04-26:12:24:38 sender:  0 - send_time: 12:24:07 - amount:74k $  - receiver: 2 - receive_time: 12:24:38
2024-04-26:12:24:38 sender:  1 - send_time: 12:24:26 - amount:593k $  - receiver: 2 - receive_time: 12:24:38
2024-04-26:12:24:39 sender:  1 - send_time: 12:24:34 - amount:566k $  - receiver: 0 - receive_time: 12:24:39
2024-04-26:12:24:39 sender:  2 - send_time: 12:24:05 - amount:304k $  - receiver: 0 - receive_time: 12:24:39
2024-04-26:12:24:39 sender:  0 - send_time: 12:24:05 - amount:923k $  - receiver: 1 - receive_time: 12:24:39
2024-04-26:12:24:39 sender:  1 - send_time: 12:24:36 - amount:2k $  - receiver: 0 - receive_time: 12:24:39
2024-04-26:12:24:39 sender:  2 - send_time: 12:24:07 - amount:153k $  - receiver: 0 - receive_time: 12:24:39
2024-04-26:12:24:40 sender:  2 - send_time: 12:24:06 - amount:108k $  - receiver: 1 - receive_time: 12:24:40
2024-04-26:12:24:41 sender:  0 - send_time: 12:24:13 - amount:250k $  - receiver: 2 - receive_time: 12:24:41
2024-04-26:12:24:42 sender:  0 - send_time: 12:24:14 - amount:435k $  - receiver: 2 - receive_time: 12:24:42
2024-04-26:12:24:43 sender:  2 - send_time: 12:24:10 - amount:894k $  - receiver: 1 - receive_time: 12:24:43
2024-04-26:12:24:44 sender:  2 - send_time: 12:24:10 - amount:746k $  - receiver: 0 - receive_time: 12:24:44
2024-04-26:12:24:44 sender:  0 - send_time: 12:24:07 - amount:833k $  - receiver: 1 - receive_time: 12:24:44
2024-04-26:12:24:44 sender:  0 - send_time: 12:24:15 - amount:448k $  - receiver: 2 - receive_time: 12:24:44
2024-04-26:12:24:45 sender:  1 - send_time: 12:24:27 - amount:797k $  - receiver: 2 - receive_time: 12:24:45
2024-04-26:12:24:45 sender:  1 - send_time: 12:24:41 - amount:313k $  - receiver: 0 - receive_time: 12:24:45
2024-04-26:12:24:46 sender:  2 - send_time: 12:24:12 - amount:917k $  - receiver: 1 - receive_time: 12:24:46
2024-04-26:12:24:47 sender:  2 - send_time: 12:24:47 - amount:596k $  - receiver: 0 - receive_time: 12:24:20
2024-04-26:12:24:47 sender:  2 - send_time: 12:24:15 - amount:146k $  - receiver: 1 - receive_time: 12:24:47
2024-04-26:12:24:47 sender:  0 - send_time: 12:24:08 - amount:448k $  - receiver: 1 - receive_time: 12:24:47
2024-04-26:12:24:48 sender:  1 - send_time: 12:24:33 - amount:195k $  - receiver: 2 - receive_time: 12:24:48
2024-04-26:12:24:48 sender:  2 - send_time: 12:24:19 - amount:39k $  - receiver: 1 - receive_time: 12:24:48
2024-04-26:12:24:48 sender:  1 - send_time: 12:24:36 - amount:482k $  - receiver: 2 - receive_time: 12:24:48
2024-04-26:12:24:48 sender:  0 - send_time: 12:24:22 - amount:802k $  - receiver: 2 - receive_time: 12:24:48
2024-04-26:12:24:49 sender:  2 - send_time: 12:24:12 - amount:451k $  - receiver: 0 - receive_time: 12:24:49
2024-04-26:12:24:49 sender:  0 - send_time: 12:24:24 - amount:990k $  - receiver: 2 - receive_time: 12:24:49
2024-04-26:12:24:50 sender:  0 - send_time: 12:24:10 - amount:86k $  - receiver: 1 - receive_time: 12:24:50
2024-04-26:12:24:50 sender:  2 - send_time: 12:24:16 - amount:581k $  - receiver: 0 - receive_time: 12:24:50
2024-04-26:12:24:50 sender:  1 - send_time: 12:24:44 - amount:489k $  - receiver: 0 - receive_time: 12:24:50
2024-04-26:12:24:51 sender:  2 - send_time: 12:24:22 - amount:102k $  - receiver: 1 - receive_time: 12:24:51
2024-04-26:12:24:51 sender:  0 - send_time: 12:24:26 - amount:712k $  - receiver: 2 - receive_time: 12:24:51
2024-04-26:12:24:52 sender:  1 - send_time: 12:24:51 - amount:313k $  - receiver: 0 - receive_time: 12:24:45
2024-04-26:12:24:52 sender:  2 - send_time: 12:24:18 - amount:939k $  - receiver: 0 - receive_time: 12:24:52
2024-04-26:12:24:53 sender:  2 - send_time: 12:24:20 - amount:227k $  - receiver: 0 - receive_time: 12:24:53
2024-04-26:12:24:53 sender:  2 - send_time: 12:24:23 - amount:194k $  - receiver: 1 - receive_time: 12:24:53
2024-04-26:12:24:53 sender:  1 - send_time: 12:24:40 - amount:380k $  - receiver: 2 - receive_time: 12:24:53
2024-04-26:12:24:54 sender:  1 - send_time: 12:24:48 - amount:702k $  - receiver: 0 - receive_time: 12:24:54
2024-04-26:12:24:55 sender:  0 - send_time: 12:24:13 - amount:698k $  - receiver: 1 - receive_time: 12:24:55
2024-04-26:12:24:56 sender:  1 - send_time: 12:24:51 - amount:313k $  - receiver: 0 - receive_time: 12:24:56
2024-04-26:12:24:57 sender:  2 - send_time: 12:24:25 - amount:623k $  - receiver: 1 - receive_time: 12:24:57
2024-04-26:12:24:57 sender:  2 - send_time: 12:24:22 - amount:240k $  - receiver: 0 - receive_time: 12:24:57
2024-04-26:12:24:58 sender:  2 - send_time: 12:24:26 - amount:490k $  - receiver: 0 - receive_time: 12:24:58
2024-04-26:12:24:58 sender:  1 - send_time: 12:24:43 - amount:736k $  - receiver: 2 - receive_time: 12:24:58
2024-04-26:12:24:58 sender:  1 - send_time: 12:24:53 - amount:937k $  - receiver: 0 - receive_time: 12:24:58
2024-04-26:12:24:58 sender:  2 - send_time: 12:24:26 - amount:609k $  - receiver: 1 - receive_time: 12:24:58
2024-04-26:12:24:59 sender:  1 - send_time: 12:24:44 - amount:610k $  - receiver: 2 - receive_time: 12:24:59
2024-04-26:12:24:59 sender:  0 - send_time: 12:24:14 - amount:238k $  - receiver: 1 - receive_time: 12:24:59
2024-04-26:12:24:59 sender:  2 - send_time: 12:24:29 - amount:155k $  - receiver: 0 - receive_time: 12:24:59
2024-04-26:12:24:59 sender:  2 - send_time: 12:24:59 - amount:611k $  - receiver: 0 - receive_time: 12:23:11
2024-04-26:12:25:00 sender:  0 - send_time: 12:24:32 - amount:228k $  - receiver: 2 - receive_time: 12:25:00
2024-04-26:12:25:00 sender:  0 - send_time: 12:24:18 - amount:176k $  - receiver: 1 - receive_time: 12:25:00
2024-04-26:12:25:01 sender:  1 - send_time: 12:24:56 - amount:365k $  - receiver: 0 - receive_time: 12:25:01
2024-04-26:12:25:01 sender:  1 - send_time: 12:24:45 - amount:340k $  - receiver: 2 - receive_time: 12:25:01
2024-04-26:12:25:02 sender:  2 - send_time: 12:24:28 - amount:889k $  - receiver: 1 - receive_time: 12:25:02
2024-04-26:12:25:02 sender:  2 - send_time: 12:24:29 - amount:984k $  - receiver: 1 - receive_time: 12:25:02
2024-04-26:12:25:03 sender:  1 - send_time: 12:24:47 - amount:954k $  - receiver: 2 - receive_time: 12:25:03
2024-04-26:12:25:03 sender:  0 - send_time: 12:24:33 - amount:170k $  - receiver: 2 - receive_time: 12:25:03
2024-04-26:12:25:03 sender:  0 - send_time: 12:24:21 - amount:662k $  - receiver: 1 - receive_time: 12:25:03
2024-04-26:12:25:04 sender:  2 - send_time: 12:24:37 - amount:755k $  - receiver: 0 - receive_time: 12:25:04
2024-04-26:12:25:04 sender:  1 - send_time: 12:24:49 - amount:374k $  - receiver: 2 - receive_time: 12:25:04
2024-04-26:12:25:05 sender:  2 - send_time: 12:24:34 - amount:454k $  - receiver: 1 - receive_time: 12:25:05
2024-04-26:12:25:06 sender:  0 - send_time: 12:24:34 - amount:743k $  - receiver: 2 - receive_time: 12:25:06
2024-04-26:12:25:07 sender:  1 - send_time: 12:24:51 - amount:708k $  - receiver: 2 - receive_time: 12:25:07
2024-04-26:12:25:07 sender:  0 - send_time: 12:24:22 - amount:964k $  - receiver: 1 - receive_time: 12:25:07
2024-04-26:12:25:07 sender:  1 - send_time: 12:24:56 - amount:611k $  - receiver: 2 - receive_time: 12:25:07
2024-04-26:12:25:07 sender:  2 - send_time: 12:24:42 - amount:444k $  - receiver: 0 - receive_time: 12:25:07
2024-04-26:12:25:09 sender:  0 - send_time: 12:24:25 - amount:362k $  - receiver: 1 - receive_time: 12:25:09
2024-04-26:12:25:09 sender:  2 - send_time: 12:24:36 - amount:503k $  - receiver: 1 - receive_time: 12:25:09
2024-04-26:12:25:10 sender:  1 - send_time: 12:24:57 - amount:115k $  - receiver: 2 - receive_time: 12:25:10
2024-04-26:12:25:11 sender:  1 - send_time: 12:25:01 - amount:996k $  - receiver: 2 - receive_time: 12:25:11
2024-04-26:12:25:11 sender:  0 - send_time: 12:24:35 - amount:672k $  - receiver: 2 - receive_time: 12:25:11
2024-04-26:12:25:11 sender:  2 - send_time: 12:24:38 - amount:482k $  - receiver: 1 - receive_time: 12:25:11
2024-04-26:12:25:11 sender:  2 - send_time: 12:25:11 - amount:894k $  - receiver: 1 - receive_time: 12:24:43
2024-04-26:12:25:11 sender:  1 - send_time: 12:25:07 - amount:264k $  - receiver: 0 - receive_time: 12:25:11
2024-04-26:12:25:12 sender:  0 - send_time: 12:24:38 - amount:333k $  - receiver: 2 - receive_time: 12:25:12
2024-04-26:12:25:12 sender:  2 - send_time: 12:24:47 - amount:596k $  - receiver: 0 - receive_time: 12:25:12
2024-04-26:12:25:13 sender:  0 - send_time: 12:24:45 - amount:828k $  - receiver: 2 - receive_time: 12:25:13
2024-04-26:12:25:14 sender:  0 - send_time: 12:24:27 - amount:121k $  - receiver: 1 - receive_time: 12:25:14
2024-04-26:12:25:14 sender:  2 - send_time: 12:24:39 - amount:735k $  - receiver: 1 - receive_time: 12:25:14
2024-04-26:12:25:15 sender:  2 - send_time: 12:24:48 - amount:262k $  - receiver: 0 - receive_time: 12:25:15
2024-04-26:12:25:15 sender:  1 - send_time: 12:25:08 - amount:822k $  - receiver: 0 - receive_time: 12:25:15
2024-04-26:12:25:15 sender:  1 - send_time: 12:25:04 - amount:488k $  - receiver: 2 - receive_time: 12:25:15
2024-04-26:12:25:16 sender:  2 - send_time: 12:24:42 - amount:103k $  - receiver: 1 - receive_time: 12:25:16
2024-04-26:12:25:17 sender:  2 - send_time: 12:24:44 - amount:729k $  - receiver: 1 - receive_time: 12:25:17
2024-04-26:12:25:17 sender:  0 - send_time: 12:24:46 - amount:120k $  - receiver: 2 - receive_time: 12:25:17
2024-04-26:12:25:17 sender:  2 - send_time: 12:24:45 - amount:790k $  - receiver: 1 - receive_time: 12:25:17
2024-04-26:12:25:17 sender:  0 - send_time: 12:24:50 - amount:148k $  - receiver: 2 - receive_time: 12:25:17
2024-04-26:12:25:18 sender:  2 - send_time: 12:24:49 - amount:453k $  - receiver: 0 - receive_time: 12:25:18
2024-04-26:12:25:18 sender:  2 - send_time: 12:24:48 - amount:900k $  - receiver: 1 - receive_time: 12:25:18
2024-04-26:12:25:18 sender:  0 - send_time: 12:24:52 - amount:864k $  - receiver: 2 - receive_time: 12:25:18
2024-04-26:12:25:19 sender:  1 - send_time: 12:25:06 - amount:294k $  - receiver: 2 - receive_time: 12:25:19
2024-04-26:12:25:19 sender:  1 - send_time: 12:25:15 - amount:930k $  - receiver: 0 - receive_time: 12:25:19
2024-04-26:12:25:20 sender:  0 - send_time: 12:24:29 - amount:544k $  - receiver: 1 - receive_time: 12:25:20
2024-04-26:12:25:20 sender:  0 - send_time: 12:24:55 - amount:13k $  - receiver: 2 - receive_time: 12:25:20
2024-04-26:12:25:21 sender:  2 - send_time: 12:24:50 - amount:531k $  - receiver: 1 - receive_time: 12:25:21
2024-04-26:12:25:21 sender:  1 - send_time: 12:25:16 - amount:914k $  - receiver: 0 - receive_time: 12:25:21
2024-04-26:12:25:22 sender:  2 - send_time: 12:24:53 - amount:904k $  - receiver: 0 - receive_time: 12:25:22
2024-04-26:12:25:23 sender:  0 - send_time: 12:24:32 - amount:202k $  - receiver: 1 - receive_time: 12:25:23
2024-04-26:12:25:24 sender:  1 - send_time: 12:25:08 - amount:133k $  - receiver: 2 - receive_time: 12:25:24
2024-04-26:12:25:24 sender:  0 - send_time: 12:24:56 - amount:265k $  - receiver: 2 - receive_time: 12:25:24
2024-04-26:12:25:24 sender:  2 - send_time: 12:24:55 - amount:614k $  - receiver: 0 - receive_time: 12:25:24
2024-04-26:12:25:25 sender:  2 - send_time: 12:24:51 - amount:609k $  - receiver: 1 - receive_time: 12:25:25
2024-04-26:12:25:25 sender:  0 - send_time: 12:24:33 - amount:554k $  - receiver: 1 - receive_time: 12:25:25
2024-04-26:12:25:25 sender:  2 - send_time: 12:24:52 - amount:617k $  - receiver: 1 - receive_time: 12:25:25
2024-04-26:12:25:25 sender:  0 - send_time: 12:24:58 - amount:932k $  - receiver: 2 - receive_time: 12:25:25
2024-04-26:12:25:26 sender:  1 - send_time: 12:25:19 - amount:707k $  - receiver: 0 - receive_time: 12:25:26
2024-04-26:12:25:27 sender:  1 - send_time: 12:25:09 - amount:789k $  - receiver: 2 - receive_time: 12:25:27
2024-04-26:12:25:27 sender:  2 - send_time: 12:24:53 - amount:107k $  - receiver: 1 - receive_time: 12:25:27
2024-04-26:12:25:28 sender:  0 - send_time: 12:24:35 - amount:829k $  - receiver: 1 - receive_time: 12:25:28
2024-04-26:12:25:29 sender:  0 - send_time: 12:25:02 - amount:838k $  - receiver: 2 - receive_time: 12:25:29
2024-04-26:12:25:30 sender:  2 - send_time: 12:24:57 - amount:926k $  - receiver: 0 - receive_time: 12:25:30
2024-04-26:12:25:30 sender:  1 - send_time: 12:25:10 - amount:431k $  - receiver: 2 - receive_time: 12:25:30
2024-04-26:12:25:30 sender:  1 - send_time: 12:25:21 - amount:372k $  - receiver: 0 - receive_time: 12:25:30
2024-04-26:12:25:31 sender:  1 - send_time: 12:25:22 - amount:884k $  - receiver: 0 - receive_time: 12:25:31
2024-04-26:12:25:32 sender:  2 - send_time: 12:24:55 - amount:650k $  - receiver: 1 - receive_time: 12:25:32
2024-04-26:12:25:33 sender:  0 - send_time: 12:24:37 - amount:219k $  - receiver: 1 - receive_time: 12:25:33
2024-04-26:12:25:33 sender:  0 - send_time: 12:25:04 - amount:138k $  - receiver: 2 - receive_time: 12:25:33
2024-04-26:12:25:34 sender:  1 - send_time: 12:25:33 - amount:822k $  - receiver: 0 - receive_time: 12:25:15
2024-04-26:12:25:34 sender:  1 - send_time: 12:25:12 - amount:820k $  - receiver: 2 - receive_time: 12:25:34
2024-04-26:12:25:35 sender:  2 - send_time: 12:24:59 - amount:611k $  - receiver: 0 - receive_time: 12:25:35
2024-04-26:12:25:35 sender:  0 - send_time: 12:24:42 - amount:289k $  - receiver: 1 - receive_time: 12:25:35
2024-04-26:12:25:35 sender:  1 - send_time: 12:25:24 - amount:153k $  - receiver: 0 - receive_time: 12:25:35
2024-04-26:12:25:35 sender:  2 - send_time: 12:24:57 - amount:752k $  - receiver: 1 - receive_time: 12:25:35
2024-04-26:12:25:37 sender:  0 - send_time: 12:25:07 - amount:859k $  - receiver: 2 - receive_time: 12:25:37
2024-04-26:12:25:37 sender:  2 - send_time: 12:25:01 - amount:460k $  - receiver: 0 - receive_time: 12:25:37
2024-04-26:12:25:37 sender:  2 - send_time: 12:25:00 - amount:127k $  - receiver: 1 - receive_time: 12:25:37
2024-04-26:12:25:38 sender:  1 - send_time: 12:25:27 - amount:786k $  - receiver: 0 - receive_time: 12:25:38
2024-04-26:12:25:39 sender:  1 - send_time: 12:25:15 - amount:376k $  - receiver: 2 - receive_time: 12:25:39
2024-04-26:12:25:40 sender:  0 - send_time: 12:24:44 - amount:848k $  - receiver: 1 - receive_time: 12:25:40
2024-04-26:12:25:40 sender:  0 - send_time: 12:25:09 - amount:730k $  - receiver: 2 - receive_time: 12:25:40
2024-04-26:12:25:40 sender:  1 - send_time: 12:25:31 - amount:705k $  - receiver: 0 - receive_time: 12:25:40
2024-04-26:12:25:41 sender:  2 - send_time: 12:25:03 - amount:814k $  - receiver: 0 - receive_time: 12:25:41
2024-04-26:12:25:42 sender:  2 - send_time: 12:25:42 - amount:546k $  - receiver: 0 - receive_time: 12:23:54
2024-04-26:12:25:42 sender:  1 - send_time: 12:25:33 - amount:822k $  - receiver: 0 - receive_time: 12:25:42
2024-04-26:12:25:42 sender:  2 - send_time: 12:25:01 - amount:794k $  - receiver: 1 - receive_time: 12:25:42
2024-04-26:12:25:43 
===========================================================================
Global Snapshot #3	Request Time:12:24:54	Preparation Time:12:25:43
Branch  0: Balance:988029k $     - In Channels: 0k $   
Branch  1: Balance:998286k $     - In Channels: 6919k $   
Branch  2: Balance:985388k $     - In Channels: 21710k $   
Total Balance: 3000332k $      
===========================================================================

2024-04-26:12:25:43 sender:  2 - send_time: 12:25:04 - amount:601k $  - receiver: 0 - receive_time: 12:25:43
2024-04-26:12:25:44 sender:  0 - send_time: 12:24:45 - amount:133k $  - receiver: 1 - receive_time: 12:25:44
2024-04-26:12:25:45 sender:  2 - send_time: 12:25:02 - amount:269k $  - receiver: 1 - receive_time: 12:25:45
2024-04-26:12:25:45 sender:  1 - send_time: 12:25:18 - amount:509k $  - receiver: 2 - receive_time: 12:25:45
2024-04-26:12:25:45 sender:  0 - send_time: 12:25:10 - amount:536k $  - receiver: 2 - receive_time: 12:25:45
2024-04-26:12:25:45 sender:  1 - send_time: 12:25:36 - amount:222k $  - receiver: 0 - receive_time: 12:25:45
2024-04-26:12:25:45 sender:  2 - send_time: 12:25:04 - amount:188k $  - receiver: 1 - receive_time: 12:25:45
2024-04-26:12:25:46 sender:  2 - send_time: 12:25:05 - amount:846k $  - receiver: 0 - receive_time: 12:25:46
2024-04-26:12:25:47 sender:  0 - send_time: 12:24:47 - amount:911k $  - receiver: 1 - receive_time: 12:25:47
2024-04-26:12:25:48 sender:  2 - send_time: 12:25:07 - amount:765k $  - receiver: 0 - receive_time: 12:25:48
2024-04-26:12:25:48 sender:  2 - send_time: 12:25:05 - amount:698k $  - receiver: 1 - receive_time: 12:25:48
2024-04-26:12:25:49 sender:  2 - send_time: 12:25:09 - amount:651k $  - receiver: 0 - receive_time: 12:25:49
2024-04-26:12:25:49 sender:  0 - send_time: 12:25:13 - amount:341k $  - receiver: 2 - receive_time: 12:25:49
2024-04-26:12:25:49 sender:  1 - send_time: 12:25:24 - amount:680k $  - receiver: 2 - receive_time: 12:25:49
2024-04-26:12:25:50 sender:  1 - send_time: 12:25:37 - amount:655k $  - receiver: 0 - receive_time: 12:25:50
2024-04-26:12:25:50 sender:  1 - send_time: 12:25:31 - amount:255k $  - receiver: 2 - receive_time: 12:25:50
2024-04-26:12:25:50 sender:  0 - send_time: 12:24:49 - amount:528k $  - receiver: 1 - receive_time: 12:25:50
2024-04-26:12:25:51 sender:  2 - send_time: 12:25:10 - amount:164k $  - receiver: 0 - receive_time: 12:25:51
2024-04-26:12:25:52 sender:  2 - send_time: 12:25:08 - amount:375k $  - receiver: 1 - receive_time: 12:25:52
2024-04-26:12:25:52 sender:  0 - send_time: 12:24:51 - amount:518k $  - receiver: 1 - receive_time: 12:25:52
2024-04-26:12:25:52 sender:  2 - send_time: 12:25:11 - amount:894k $  - receiver: 1 - receive_time: 12:25:52
2024-04-26:12:25:54 sender:  2 - send_time: 12:25:13 - amount:723k $  - receiver: 1 - receive_time: 12:25:54
2024-04-26:12:25:54 sender:  0 - send_time: 12:25:15 - amount:954k $  - receiver: 2 - receive_time: 12:25:54
2024-04-26:12:25:55 sender:  1 - send_time: 12:25:41 - amount:90k $  - receiver: 0 - receive_time: 12:25:55
2024-04-26:12:25:55 sender:  1 - send_time: 12:25:33 - amount:470k $  - receiver: 2 - receive_time: 12:25:55
2024-04-26:12:25:55 sender:  1 - send_time: 12:25:42 - amount:613k $  - receiver: 0 - receive_time: 12:25:55
2024-04-26:12:25:55 sender:  0 - send_time: 12:24:54 - amount:575k $  - receiver: 1 - receive_time: 12:25:55
2024-04-26:12:25:56 sender:  1 - send_time: 12:25:44 - amount:89k $  - receiver: 0 - receive_time: 12:25:56
2024-04-26:12:25:56 sender:  2 - send_time: 12:25:14 - amount:815k $  - receiver: 0 - receive_time: 12:25:56
2024-04-26:12:25:56 sender:  2 - send_time: 12:25:16 - amount:501k $  - receiver: 1 - receive_time: 12:25:56
2024-04-26:12:25:57 sender:  1 - send_time: 12:25:46 - amount:361k $  - receiver: 0 - receive_time: 12:25:57
2024-04-26:12:25:57 sender:  0 - send_time: 12:25:19 - amount:286k $  - receiver: 2 - receive_time: 12:25:57
2024-04-26:12:25:57 sender:  1 - send_time: 12:25:34 - amount:889k $  - receiver: 2 - receive_time: 12:25:57
2024-04-26:12:25:58 sender:  2 - send_time: 12:25:19 - amount:883k $  - receiver: 1 - receive_time: 12:25:58
2024-04-26:12:25:58 sender:  1 - send_time: 12:25:58 - amount:89k $  - receiver: 0 - receive_time: 12:25:56
2024-04-26:12:25:58 sender:  2 - send_time: 12:25:21 - amount:574k $  - receiver: 1 - receive_time: 12:25:58
2024-04-26:12:25:59 sender:  2 - send_time: 12:25:17 - amount:297k $  - receiver: 0 - receive_time: 12:25:59
2024-04-26:12:26:00 sender:  0 - send_time: 12:24:56 - amount:966k $  - receiver: 1 - receive_time: 12:26:00
2024-04-26:12:26:00 sender:  0 - send_time: 12:25:20 - amount:724k $  - receiver: 2 - receive_time: 12:26:00
2024-04-26:12:26:00 sender:  2 - send_time: 12:26:00 - amount:646k $  - receiver: 1 - receive_time: 12:24:23
2024-04-26:12:26:01 sender:  1 - send_time: 12:25:39 - amount:902k $  - receiver: 2 - receive_time: 12:26:01
2024-04-26:12:26:01 sender:  1 - send_time: 12:25:48 - amount:726k $  - receiver: 0 - receive_time: 12:26:01
2024-04-26:12:26:02 sender:  2 - send_time: 12:25:23 - amount:921k $  - receiver: 1 - receive_time: 12:26:02
2024-04-26:12:26:02 sender:  2 - send_time: 12:25:19 - amount:549k $  - receiver: 0 - receive_time: 12:26:02
2024-04-26:12:26:03 sender:  0 - send_time: 12:24:58 - amount:428k $  - receiver: 1 - receive_time: 12:26:03
2024-04-26:12:26:03 sender:  0 - send_time: 12:25:24 - amount:789k $  - receiver: 2 - receive_time: 12:26:03
2024-04-26:12:26:03 sender:  1 - send_time: 12:25:42 - amount:57k $  - receiver: 2 - receive_time: 12:26:03
2024-04-26:12:26:04 sender:  1 - send_time: 12:26:04 - amount:897k $  - receiver: 0 - receive_time: 12:22:46
2024-04-26:12:26:04 sender:  2 - send_time: 12:25:20 - amount:790k $  - receiver: 0 - receive_time: 12:26:04
2024-04-26:12:26:06 sender:  0 - send_time: 12:25:01 - amount:459k $  - receiver: 1 - receive_time: 12:26:06
2024-04-26:12:26:06 sender:  0 - send_time: 12:25:26 - amount:211k $  - receiver: 2 - receive_time: 12:26:06
2024-04-26:12:26:06 sender:  1 - send_time: 12:25:50 - amount:970k $  - receiver: 0 - receive_time: 12:26:06
2024-04-26:12:26:07 sender:  0 - send_time: 12:26:06 - amount:442k $  - receiver: 2 - receive_time: 12:24:15
2024-04-26:12:26:07 sender:  2 - send_time: 12:25:28 - amount:840k $  - receiver: 1 - receive_time: 12:26:07
2024-04-26:12:26:07 sender:  0 - send_time: 12:25:31 - amount:724k $  - receiver: 2 - receive_time: 12:26:07
2024-04-26:12:26:07 sender:  2 - send_time: 12:25:21 - amount:63k $  - receiver: 0 - receive_time: 12:26:07
2024-04-26:12:26:08 sender:  2 - send_time: 12:25:29 - amount:493k $  - receiver: 1 - receive_time: 12:26:08
2024-04-26:12:26:08 sender:  1 - send_time: 12:25:44 - amount:794k $  - receiver: 2 - receive_time: 12:26:08
2024-04-26:12:26:09 sender:  1 - send_time: 12:25:56 - amount:947k $  - receiver: 0 - receive_time: 12:26:09
2024-04-26:12:26:09 sender:  0 - send_time: 12:25:32 - amount:248k $  - receiver: 2 - receive_time: 12:26:09
2024-04-26:12:26:09 sender:  0 - send_time: 12:25:34 - amount:230k $  - receiver: 2 - receive_time: 12:26:09
2024-04-26:12:26:10 sender:  1 - send_time: 12:25:49 - amount:573k $  - receiver: 2 - receive_time: 12:26:10
2024-04-26:12:26:10 sender:  2 - send_time: 12:25:24 - amount:705k $  - receiver: 0 - receive_time: 12:26:10
2024-04-26:12:26:11 sender:  0 - send_time: 12:25:02 - amount:381k $  - receiver: 1 - receive_time: 12:26:11
2024-04-26:12:26:11 sender:  1 - send_time: 12:25:52 - amount:854k $  - receiver: 2 - receive_time: 12:26:11
2024-04-26:12:26:11 sender:  2 - send_time: 12:26:11 - amount:164k $  - receiver: 0 - receive_time: 12:25:51
2024-04-26:12:26:12 sender:  2 - send_time: 12:25:26 - amount:655k $  - receiver: 0 - receive_time: 12:26:12
2024-04-26:12:26:12 sender:  1 - send_time: 12:25:56 - amount:822k $  - receiver: 2 - receive_time: 12:26:12
2024-04-26:12:26:12 sender:  2 - send_time: 12:26:12 - amount:39k $  - receiver: 1 - receive_time: 12:24:48
2024-04-26:12:26:13 sender:  2 - send_time: 12:25:27 - amount:752k $  - receiver: 0 - receive_time: 12:26:13
2024-04-26:12:26:13 sender:  2 - send_time: 12:25:34 - amount:434k $  - receiver: 1 - receive_time: 12:26:13
2024-04-26:12:26:13 sender:  1 - send_time: 12:25:58 - amount:550k $  - receiver: 2 - receive_time: 12:26:13
2024-04-26:12:26:13 sender:  0 - send_time: 12:25:39 - amount:477k $  - receiver: 2 - receive_time: 12:26:13
2024-04-26:12:26:14 sender:  1 - send_time: 12:25:58 - amount:89k $  - receiver: 0 - receive_time: 12:26:14
2024-04-26:12:26:14 sender:  0 - send_time: 12:25:04 - amount:5k $  - receiver: 1 - receive_time: 12:26:14
2024-04-26:12:26:14 sender:  1 - send_time: 12:26:01 - amount:920k $  - receiver: 2 - receive_time: 12:26:14
2024-04-26:12:26:15 sender:  0 - send_time: 12:25:08 - amount:338k $  - receiver: 1 - receive_time: 12:26:15
2024-04-26:12:26:15 sender:  2 - send_time: 12:25:35 - amount:813k $  - receiver: 1 - receive_time: 12:26:15
2024-04-26:12:26:16 sender:  0 - send_time: 12:25:41 - amount:387k $  - receiver: 2 - receive_time: 12:26:16
2024-04-26:12:26:17 sender:  0 - send_time: 12:25:15 - amount:368k $  - receiver: 1 - receive_time: 12:26:17
2024-04-26:12:26:17 sender:  1 - send_time: 12:25:59 - amount:394k $  - receiver: 0 - receive_time: 12:26:17
2024-04-26:12:26:17 sender:  2 - send_time: 12:25:30 - amount:677k $  - receiver: 0 - receive_time: 12:26:17
2024-04-26:12:26:18 sender:  1 - send_time: 12:26:03 - amount:936k $  - receiver: 2 - receive_time: 12:26:18
2024-04-26:12:26:19 sender:  1 - send_time: 12:26:19 - amount:707k $  - receiver: 0 - receive_time: 12:25:26
2024-04-26:12:26:20 sender:  0 - send_time: 12:25:43 - amount:560k $  - receiver: 2 - receive_time: 12:26:20
2024-04-26:12:26:20 sender:  2 - send_time: 12:25:37 - amount:814k $  - receiver: 1 - receive_time: 12:26:20
2024-04-26:12:26:21 sender:  0 - send_time: 12:25:16 - amount:345k $  - receiver: 1 - receive_time: 12:26:21
2024-04-26:12:26:21 sender:  1 - send_time: 12:26:04 - amount:897k $  - receiver: 0 - receive_time: 12:26:21
2024-04-26:12:26:21 sender:  0 - send_time: 12:25:46 - amount:279k $  - receiver: 2 - receive_time: 12:26:21
2024-04-26:12:26:21 sender:  2 - send_time: 12:26:21 - amount:269k $  - receiver: 1 - receive_time: 12:25:45
2024-04-26:12:26:22 sender:  2 - send_time: 12:25:38 - amount:466k $  - receiver: 1 - receive_time: 12:26:22
2024-04-26:12:26:23 sender:  2 - send_time: 12:25:32 - amount:998k $  - receiver: 0 - receive_time: 12:26:23
2024-04-26:12:26:23 sender:  0 - send_time: 12:25:17 - amount:832k $  - receiver: 1 - receive_time: 12:26:23
2024-04-26:12:26:23 sender:  1 - send_time: 12:26:05 - amount:80k $  - receiver: 2 - receive_time: 12:26:23
